1,2
0m 7s (- 7m 26s) (500 1%) avg loss: 2.0262,0m 10s (- 10m 26s) (500 1%) avg loss: 2.1012
avg bleu: 0.3411,avg bleu: 0.3514
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1920,ind acc avg: 0.1905
0m 14s (- 7m 8s) (1000 3%) avg loss: 1.7928,0m 21s (- 10m 29s) (1000 3%) avg loss: 1.8395
avg bleu: 0.3566,avg bleu: 0.3591
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2105,ind acc avg: 0.2045
0m 22s (- 6m 58s) (1500 5%) avg loss: 1.8156,0m 34s (- 10m 47s) (1500 5%) avg loss: 1.7792
avg bleu: 0.3781,avg bleu: 0.3701
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2253,ind acc avg: 0.2077
0m 30s (- 7m 7s) (2000 6%) avg loss: 1.8865,0m 46s (- 10m 49s) (2000 6%) avg loss: 1.7247
avg bleu: 0.3830,avg bleu: 0.3738
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2125,ind acc avg: 0.2305
0m 39s (- 7m 10s) (2500 8%) avg loss: 1.6340,0m 58s (- 10m 46s) (2500 8%) avg loss: 1.6734
avg bleu: 0.3780,avg bleu: 0.3860
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2377,ind acc avg: 0.2545
0m 47s (- 7m 8s) (3000 10%) avg loss: 1.5427,1m 11s (- 10m 41s) (3000 10%) avg loss: 1.6039
avg bleu: 0.3966,avg bleu: 0.3888
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2530,ind acc avg: 0.2405
0m 56s (- 7m 5s) (3500 11%) avg loss: 1.5703,1m 23s (- 10m 33s) (3500 11%) avg loss: 1.5171
avg bleu: 0.4080,avg bleu: 0.3944
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2655,ind acc avg: 0.2590
1m 4s (- 7m 0s) (4000 13%) avg loss: 1.4960,1m 36s (- 10m 24s) (4000 13%) avg loss: 1.5051
avg bleu: 0.4047,avg bleu: 0.3931
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2692,ind acc avg: 0.2792
1m 13s (- 6m 55s) (4500 15%) avg loss: 1.4682,1m 48s (- 10m 13s) (4500 15%) avg loss: 1.5271
avg bleu: 0.3944,avg bleu: 0.4083
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2757,ind acc avg: 0.2752
1m 21s (- 6m 49s) (5000 16%) avg loss: 1.4247,2m 0s (- 10m 4s) (5000 16%) avg loss: 1.4255
avg bleu: 0.4250,avg bleu: 0.4124
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2918,ind acc avg: 0.2807
1m 30s (- 6m 42s) (5500 18%) avg loss: 1.4245,2m 13s (- 9m 53s) (5500 18%) avg loss: 1.4265
avg bleu: 0.4186,avg bleu: 0.4068
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2855,ind acc avg: 0.2913
1m 38s (- 6m 35s) (6000 20%) avg loss: 1.3807,2m 25s (- 9m 42s) (6000 20%) avg loss: 1.4075
avg bleu: 0.4300,avg bleu: 0.4083
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3073,ind acc avg: 0.2920
1m 47s (- 6m 28s) (6500 21%) avg loss: 1.4166,2m 38s (- 9m 31s) (6500 21%) avg loss: 1.3694
avg bleu: 0.4153,avg bleu: 0.4152
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2920,ind acc avg: 0.2950
1m 56s (- 6m 21s) (7000 23%) avg loss: 1.3657,2m 50s (- 9m 20s) (7000 23%) avg loss: 1.5143
avg bleu: 0.4205,avg bleu: 0.4221
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3090,ind acc avg: 0.2885
2m 4s (- 6m 13s) (7500 25%) avg loss: 1.3563,3m 3s (- 9m 10s) (7500 25%) avg loss: 1.4092
avg bleu: 0.4186,avg bleu: 0.4327
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2983,ind acc avg: 0.3108
2m 13s (- 6m 6s) (8000 26%) avg loss: 1.3918,3m 15s (- 8m 58s) (8000 26%) avg loss: 1.4244
avg bleu: 0.4345,avg bleu: 0.4307
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3033,ind acc avg: 0.3003
2m 21s (- 5m 58s) (8500 28%) avg loss: 1.4592,3m 28s (- 8m 47s) (8500 28%) avg loss: 1.3674
avg bleu: 0.4350,avg bleu: 0.4206
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3073,ind acc avg: 0.3093
2m 30s (- 5m 50s) (9000 30%) avg loss: 1.3777,3m 41s (- 8m 35s) (9000 30%) avg loss: 1.3900
avg bleu: 0.4436,avg bleu: 0.4332
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3215,ind acc avg: 0.3003
2m 38s (- 5m 42s) (9500 31%) avg loss: 1.4086,3m 53s (- 8m 23s) (9500 31%) avg loss: 1.3780
