1,2
0m 9s (- 9m 0s) (500 1%) avg loss: 1.8660,0m 8s (- 8m 45s) (500 1%) avg loss: 2.0197
avg bleu: 0.3277,avg bleu: 0.3182
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2047,ind acc avg: 0.1933
0m 17s (- 8m 40s) (1000 3%) avg loss: 1.6667,0m 18s (- 8m 59s) (1000 3%) avg loss: 1.7239
avg bleu: 0.3369,avg bleu: 0.3318
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2307,ind acc avg: 0.2217
0m 27s (- 8m 35s) (1500 5%) avg loss: 1.4555,0m 29s (- 9m 18s) (1500 5%) avg loss: 1.7061
avg bleu: 0.3757,avg bleu: 0.3368
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.2830,ind acc avg: 0.2277
0m 35s (- 8m 18s) (2000 6%) avg loss: 1.3232,0m 38s (- 9m 3s) (2000 6%) avg loss: 1.5664
avg bleu: 0.4061,avg bleu: 0.3743
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3143,ind acc avg: 0.2667
0m 43s (- 8m 0s) (2500 8%) avg loss: 1.2360,0m 49s (- 9m 1s) (2500 8%) avg loss: 1.3846
avg bleu: 0.4383,avg bleu: 0.3939
running acc: 0.0040,running acc: 0.0000
ind acc avg: 0.3503,ind acc avg: 0.3070
0m 51s (- 7m 46s) (3000 10%) avg loss: 1.2091,1m 0s (- 9m 2s) (3000 10%) avg loss: 1.2757
avg bleu: 0.4508,avg bleu: 0.4158
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3593,ind acc avg: 0.3303
0m 58s (- 7m 21s) (3500 11%) avg loss: 1.1354,1m 10s (- 8m 55s) (3500 11%) avg loss: 1.2744
avg bleu: 0.4568,avg bleu: 0.4399
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.3733,ind acc avg: 0.3577
1m 8s (- 7m 22s) (4000 13%) avg loss: 1.0829,1m 20s (- 8m 45s) (4000 13%) avg loss: 1.1318
avg bleu: 0.4853,avg bleu: 0.4860
running acc: 0.0040,running acc: 0.0020
ind acc avg: 0.4057,ind acc avg: 0.4070
1m 16s (- 7m 12s) (4500 15%) avg loss: 1.0768,1m 33s (- 8m 47s) (4500 15%) avg loss: 1.0896
avg bleu: 0.5088,avg bleu: 0.5013
running acc: 0.0040,running acc: 0.0020
ind acc avg: 0.4220,ind acc avg: 0.4333
1m 23s (- 6m 55s) (5000 16%) avg loss: 1.0161,1m 49s (- 9m 8s) (5000 16%) avg loss: 1.0020
avg bleu: 0.5096,avg bleu: 0.5362
running acc: 0.0060,running acc: 0.0020
