1,2
0m 22s (- 22m 8s) (500 1%) avg loss: 2.3976,0m 33s (- 32m 32s) (500 1%) avg loss: 2.3578
avg bleu: 0.2632,avg bleu: 0.2832
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1072,ind acc avg: 0.1046
0m 44s (- 21m 19s) (1000 3%) avg loss: 2.2452,1m 12s (- 34m 55s) (1000 3%) avg loss: 2.3710
avg bleu: 0.3015,avg bleu: 0.2986
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1040,ind acc avg: 0.1237
1m 5s (- 20m 37s) (1500 5%) avg loss: 2.3133,1m 44s (- 33m 14s) (1500 5%) avg loss: 2.3814
avg bleu: 0.3038,avg bleu: 0.3084
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1202,ind acc avg: 0.1355
1m 25s (- 19m 55s) (2000 6%) avg loss: 2.3538,2m 21s (- 33m 6s) (2000 6%) avg loss: 2.3594
avg bleu: 0.2955,avg bleu: 0.3132
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1316,ind acc avg: 0.1340
1m 49s (- 20m 3s) (2500 8%) avg loss: 2.3613,3m 1s (- 33m 12s) (2500 8%) avg loss: 2.3567
avg bleu: 0.3097,avg bleu: 0.3018
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1315,ind acc avg: 0.1404
2m 18s (- 20m 45s) (3000 10%) avg loss: 2.5353,3m 34s (- 32m 11s) (3000 10%) avg loss: 2.3257
avg bleu: 0.3047,avg bleu: 0.3057
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1001,ind acc avg: 0.1398
2m 52s (- 21m 44s) (3500 11%) avg loss: 2.5738,4m 11s (- 31m 47s) (3500 11%) avg loss: 2.3832
avg bleu: 0.3121,avg bleu: 0.3021
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0981,ind acc avg: 0.1205
3m 13s (- 20m 58s) (4000 13%) avg loss: 2.6895,4m 46s (- 31m 3s) (4000 13%) avg loss: 3.2028
avg bleu: 0.3356,avg bleu: 0.3309
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0920,ind acc avg: 0.0896
3m 46s (- 21m 25s) (4500 15%) avg loss: 2.5888,5m 18s (- 30m 2s) (4500 15%) avg loss: 4.4066
avg bleu: 0.3480,avg bleu: 0.3615
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0948,ind acc avg: 0.0906
4m 20s (- 21m 40s) (5000 16%) avg loss: 2.6365,5m 50s (- 29m 10s) (5000 16%) avg loss: 4.3988
avg bleu: 0.3497,avg bleu: 0.3540
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1024,ind acc avg: 0.0924
4m 58s (- 22m 10s) (5500 18%) avg loss: 2.6675,6m 29s (- 28m 53s) (5500 18%) avg loss: 4.3852
avg bleu: 0.3537,avg bleu: 0.3520
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1013,ind acc avg: 0.0952
5m 27s (- 21m 51s) (6000 20%) avg loss: 2.7219,7m 3s (- 28m 13s) (6000 20%) avg loss: 4.2772
avg bleu: 0.3583,avg bleu: 0.3670
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0920,ind acc avg: 0.0963
5m 58s (- 21m 37s) (6500 21%) avg loss: 2.7326,7m 39s (- 27m 39s) (6500 21%) avg loss: 4.0307
avg bleu: 0.3596,avg bleu: 0.3715
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0977,ind acc avg: 0.0919
6m 31s (- 21m 26s) (7000 23%) avg loss: 2.7912,8m 14s (- 27m 4s) (7000 23%) avg loss: 4.0766
avg bleu: 0.3574,avg bleu: 0.3606
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0931,ind acc avg: 0.0939
6m 57s (- 20m 52s) (7500 25%) avg loss: 2.7722,8m 45s (- 26m 15s) (7500 25%) avg loss: 4.1756
avg bleu: 0.3627,avg bleu: 0.3762
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0974,ind acc avg: 0.0974
7m 17s (- 20m 2s) (8000 26%) avg loss: 2.7949,9m 17s (- 25m 34s) (8000 26%) avg loss: 4.2713
avg bleu: 0.3735,avg bleu: 0.3633
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0977,ind acc avg: 0.0950
7m 37s (- 19m 18s) (8500 28%) avg loss: 2.8654,9m 56s (- 25m 8s) (8500 28%) avg loss: 4.1654
avg bleu: 0.3499,avg bleu: 0.3637
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1026,ind acc avg: 0.0987
7m 57s (- 18m 34s) (9000 30%) avg loss: 2.8828,10m 33s (- 24m 38s) (9000 30%) avg loss: 4.0544
avg bleu: 0.3575,avg bleu: 0.3695
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0960,ind acc avg: 0.0983
8m 17s (- 17m 54s) (9500 31%) avg loss: 2.8346,11m 7s (- 24m 0s) (9500 31%) avg loss: 3.9959
avg bleu: 0.3722,avg bleu: 0.3630
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0984,ind acc avg: 0.1050
8m 37s (- 17m 15s) (10000 33%) avg loss: 2.8663,11m 42s (- 23m 24s) (10000 33%) avg loss: 4.0740
avg bleu: 0.3784,avg bleu: 0.3649
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.0985,ind acc avg: 0.0989
8m 57s (- 16m 38s) (10500 35%) avg loss: 2.9087,12m 15s (- 22m 46s) (10500 35%) avg loss: 4.2270
avg bleu: 0.3708,avg bleu: 0.3592
running acc: 0.0000,running acc: 0.0000
ind acc avg: 0.1006,ind acc avg: 0.1018
