( ( ( 2 * 9 ) + 9 ) * 9 )	2 9 * 9 + 9 *	243.0
( 7 * ( 7 - ( 7 / 9 ) ) )	7 7 7 9 / - *	43.55555555555556
( 3 + ( 3 * 1 ) )	3 3 1 * +	6.0
( ( ( 1 - 4 ) / 4 ) * 4 )	1 4 - 4 / 4 *	-3.0
( ( 3 - 6 ) - ( 3 / 6 ) )	3 6 - 3 6 / -	-3.5
( 1 + ( 1 / ( 0 + 9 ) ) )	1 1 0 9 + / +	1.1111111111111112
( ( 5 - 9 ) + ( 4 * 9 ) )	5 9 - 4 9 * +	32.0
( ( 0 - 7 ) + ( 0 - 6 ) )	0 7 - 0 6 - +	-13.0
( 6 * ( 6 - ( 7 * 3 ) ) )	6 6 7 3 * - *	-90.0
( 4 + ( 4 - ( 5 / 2 ) ) )	4 4 5 2 / - +	5.5
( 8 + ( 8 / ( 8 * 5 ) ) )	8 8 8 5 * / +	8.2
( 7 - ( 7 + ( 7 / 8 ) ) )	7 7 7 8 / + -	-0.875
( 7 / ( 6 / ( 7 * 9 ) ) )	7 6 7 9 * / /	73.5
( ( ( 4 / 8 ) * 9 ) - 8 )	4 8 / 9 * 8 -	-3.5
( 6 - ( 6 - ( 6 - 4 ) ) )	6 6 6 4 - - -	2.0
( ( 2 - 2 ) / ( 2 / 2 ) )	2 2 - 2 2 / /	0.0
( ( ( 2 + 0 ) + 0 ) + 0 )	2 0 + 0 + 0 +	2.0
( 1 * ( 0 * ( 1 / 1 ) ) )	1 0 1 1 / * *	0.0
( ( ( 3 * 5 ) / 4 ) * 5 )	3 5 * 4 / 5 *	18.75
( 4 - ( 5 * ( 5 * 3 ) ) )	4 5 5 3 * * -	-71.0
( ( 6 / 4 ) * 4 )	6 4 / 4 *	6.0
( ( ( 4 / 9 ) * 9 ) / 9 )	4 9 / 9 * 9 /	0.4444444444444444
( 2 / ( 2 * ( 2 / 8 ) ) )	2 2 2 8 / * /	4.0
( ( ( 9 / 5 ) - 4 ) + 5 )	9 5 / 4 - 5 +	2.8
( 3 / ( 3 / ( 3 * 6 ) ) )	3 3 3 6 * / /	18.0
( ( 5 + 2 ) * ( 5 / 3 ) )	5 2 + 5 3 / *	11.666666666666668
( 6 * ( 6 + ( 6 - 8 ) ) )	6 6 6 8 - + *	24.0
( 4 * ( 4 / ( 4 + 2 ) ) )	4 4 4 2 + / *	2.6666666666666665
( ( 6 * 6 ) * ( 7 * 6 ) )	6 6 * 7 6 * *	1512.0
( ( ( 8 / 3 ) - 2 ) / 3 )	8 3 / 2 - 3 /	0.22222222222222218
( 8 - ( 9 + ( 8 / 4 ) ) )	8 9 8 4 / + -	-3.0
( ( 0 - 0 ) + 0 )	0 0 - 0 +	0.0
